name,meaning
Antakshari'20,"আন্তাক্‌ষরী(হিন্দিতে আন্তাক্‌ষরী,বাংলায় অন্তাক্ষরী) এক ধরনের খেলা বা প্রতিযোগিতা যাতে একজন কবিতা পড়ে বা গান গায় এবং অন্য একজন সেই কবিতা বা গানের শেষ অক্ষর দিয়ে আরম্ভ হয় এমন কোনও কবিতা পড়ে বা গান গায়।  ব্যাচ-20 এর পথচলাও এই খেলাটার মতোই।৩-৪ বছরের প্রতিটা স্টেজে আমাদের কার্যক্রমকে একটা গানের মতো করে চিন্তা করা যায়।২২ সালের আগমনী গান, ডেপ্ট ভিত্তিক প্রোগ্রামগুলার স্বাধীনতার গান, আন্দোলনে প্রতিবাদের গান, আর সামনের বিদায়ে বিদায়ী গান —এতসব গান নিয়েই তো আমাদের ব্যাচ-বিশ।আর এতসব গানের সম্মিলনেই আমাদের আন্তাক্‌ষরী—আন্তাক্‌ষরী'২০..."
Bishorgo 20,No
Bivishon (বিভিষণ) -20,"Separation or Distinction: It suggests a sense of being distinguished or set apart, symbolizing individuality or uniqueness."
Inquilab 20,"Our batch is all about revolution, Recent independence. It will mark our batch as we witnessed this in front of us. 20 batch had been involved in many Revolutionary (Inqilab) decisions in and outside BUET"
Phoenix ২০/ফিনিক্স ২০,Immortal Bird. We will be remembered forever. 
Resistance 20,bakider moto mula guni na amra
Twilight 20,....
অকিল্মিষ ২০,"দোষহীন, পাপশূন্য"
অগ্নিপ্রভ,"এটা বিজয় বা সফল হিসেবে নির্দিষ্ট করে এমন অর্থবহন করে।  আমরা ২০ ব্যাচ বুয়েটের রাজনৈতিক জিনিস টা যেভাবে আন্দোলন করেছি, বিজয় এর সুনির্দিষ্ট আশায়। সেখান থেকে অনুপ্রাণিত "
অগ্নিবীণা ২০,"অগ্নি মানে আগুন বা জ্বলন্ত শক্তি। বীণা হলো একটি সঙ্গীতযন্ত্র। এই দুটি শব্দের মিলনে অগ্নিবীণা অর্থ দাঁড়ায় এক ধরনের সৃজনশীল শক্তি, যা আগুনের মতো প্রজ্জ্বলিত ও অপ্রতিরোধ্য। এটি প্রচলিতভাবে সাহস, শক্তি, ও সৃষ্টিশীলতার প্রতীক হিসেবে ব্যবহৃত হয়। কাজী নজরুল ইসলামের বিখ্যাত কাব্যগ্রন্থ ""অগ্নিবীণা"" নামেও এই শব্দটি ব্যবহৃত হয়েছে, যেখানে বিপ্লবী চেতনা ও সংগ্রামী ভাবধারা প্রকাশ পেয়েছে।"
অগ্নিবীর ২০,বীরত্ব
অগ্নিশিখা ২০,বীরত্ব
অগ্রদূত '২০,No theme
অঘমর্ষণ ২০,"পাপমুক্তি, ন্যায়ের শুরু "
অজেয় ২০,আমরা সবকিছুর বিরুদ্ধে জয় করেছি
অদমনীয়,as batch 20 was uncompromising throughout the time
অদম্য '20,Unconquerable
অদম্য ২০," convey resilience and strength, with a focus on being unstoppable and unyielding"
অদম্য ২০,বেশ বাধা! ফেস
অদ্বিত'২০,"অদ্বিত অদ্বিতীয় শব্দের নাম রূপ, ব্যাচ হিসেবে আমাদের অনন্যতা প্রকাশ করে।"
অদ্বিতীয় ২০,Because we are the first batch which needs two steps verification for entering BUET
অদ্বৈত,অদ্বৈত অর্থ -দুই নয় এমন এক ও অভিন্ন।আমরা ব্যাচ ২০ তাই ২ এর পর ০ বোঝায় দুই নয় এমন অভিন্ন।
অনলপ্রভা,আগুনের দ্যুতি
অনলীক'২০,যা অলীক বা মিথ্যা নয়। সত্য ও সুন্দর। 
অনির্বাণ,"অনির্বাণ শব্দের বাংলা অর্থ নির্বাণ বা মুক্তিলাভ হয়নি এমন, নেভে না বা নির্বাপিত হয় না এমনজ্বলন্ত, অশান্ত। নির্বাণ বা মুক্তিরহিত। অনির্বাপিত, জলন্ত। অনিবৃত্ত, অশান্ত। অনির্বেয় নির্বাপিত করা যায় না এমন।  Gives positive and inspiring sense, নানা বাধাবিপত্তি পার হয়েও আমরা কঠোর সিদ্ধান্তে অটল , আপোসহীন এবং প্রাণশক্তিতে পরিপূর্ণ
অনির্বাণ শব্দটির অর্থ হলো ""নিরবচ্ছিন্ন"" বা ""অপ্রদীপিত,"" যা কখনও নিভে না,অবিরাম জ্বলতে থাকা।এটি একটি শক্তিশালী এবং অর্থবহ শব্দ,যা বিভিন্ন প্রেক্ষাপটে ব্যাচের নাম হিসেবে একটি সুন্দর ও প্রতীকী মানে ধারণ করতে পারে।এই নামের মাধ্যমে অবিরাম উদ্যম,মানসিক দৃঢ়তা এবং সংগ্রামী চেতনা ধারণ করবে। অনির্বাণ অর্থ নিভে যায় না / নির্বাপণ হয় না এমন জ্বলন্ত , অশান্ত"
অনুনাদ,Always vocal and united against all the odds.
অনুস্বর ,এমনেই ভাল্লাগছে :৩
অন্বেষণ '২০,"অন্বেষণ '২০ আমাদের সাহস, দৃঢ়তা এবং অনুসন্ধানী মনোভাবের প্রতিফলন। 'অন্বেষণ' শব্দটা আমাদের জন্য অনেক গভীর অর্থ বহন করে—এটা শুধু নতুন কিছু খোঁজার নয়, বরং অজানাকে জানার, নতুন অভিজ্ঞতা অর্জন করার এবং সীমাহীন সম্ভাবনার পথে এগিয়ে যাওয়ার প্রতীক।"
অন্বেষা,Always in the search of truth and justice
অপরাজেয়-২০,বুয়েটে যত আন্দোলন হয়েছে সবগুলোতে ২০ ছিলো অগ্রনী। তারা কোনো বয়কট কোনো হার্ডলাইন থেকে সরে আসেনি। তাই তারা সর্বতা অপরাজেয়।
অপ্রতিরোধ্য-২০,"বুয়েট-২০ অনেক বাধা,বিপত্তি পেরিয়ে এতদূর এসেছে।তাদের এডমিশন জার্নি অন্য সবার থেকে আলাদা।তারা হাল ছেড়ে দেয়নি,বা কেউ দমিয়ে রাখতে পারে নি।তাই তারা অপ্রতিরোধ্য।"
অবিচল or  অদম্য,same reason.
অব্যয় '২০,"বিদ্রোহী কবিতার একটি অংশ, ""আমি মৃণ্ময়, আমি চিন্ময়,  আমি অজর অমর অক্ষয়, আমি অব্যয়!"" অব্যয় অর্থ, অক্ষয়, অবিনাশী, অপরিবর্তী।"
অভিযাত্রী ,"দেশ আবিস্কারের উদ্দেশ্যে কিংবা দেশ ভ্রমণের উদ্দেশ্যে ভ্রমণকারী। জীবন টাও যেনো এমন ই এক চমকপ্রদ ভ্রমণ, নিত্য নিতুন পরিস্থিতি আবিষ্কারের উদ্দ্যেশ্যে আমাদের ছুটে চলা যাত্রীর মতো"
অভিসার ২০,জ্ঞান সন্ধানে অভিযান রত
অভ্যুদয় (Abhyudoy) -20,Rise or Progression 
অভ্রভেদী ,"উঁচু বা আকাশ ছোঁয়া অর্থে, উর্দ্ধে আরোহণ এর অনুপ্রেরণা জোগায়। শির উঁচু রেখে এগিয়ে যাবার প্রেরণায়।"
অরিঞ্জয় ২০,এর অর্থ বিজয়ী! বিজয় ২.০ হল inspiration.
অরিন্দম-২০,unconquerable 
অরূণোদয়,
অরোধ্য ,Derived from রোধ(resistance). Means something irresistible 
অসম্বাধ ২০,"বাধাহীন, প্রশস্ত"
আবর্ত-২০,Dynamic energy and powerful impact
আবাহন '২০,এপ্রিলে সর্বপ্রথম ছাত্ররাজনীতি রোধে রুখে দাড়াবার ডাক দিয়েছিল ২০ব্যাচ। বুয়েটে ১৮ বা ১৯ ব্যাচের তুলনায় ২০ এর ভূমিকা এবং একতা সবচেয়ে বেশি ছিল। তাই সেই স্মরণে ২০ কে আবাহন ২০ নাম করণ করা হোক
আবির্ভাব ২০,পুরনো জঞ্জাল ঝেড়ে নতুন বাংলাদেশের আবির্ভাবের প্রত্যাশা
আরোহী-২০,
আলোকবর্তিকা,
আলোকবর্তিকা ২০,
ইনকিলাব '২০,বিপ্লবী '২০( বিশ)
ইনকিলাব ২০,"ইনকিলাব নামের অর্থ বিপ্লব। বিশ ব্যাচ সদা অন্যায়ের বিরুদ্ধে বিপ্লবী। বিশ ব্যাচ জানেনা অন্যায়ের সাথে আপোষ করতে। বিশ ব্যাচ মানেই অন্যায়,অবিচার আর লেজুড়বৃত্তিক ছাত্ররাজনীতির বিরুদ্ধে বিপ্লবী এক শক্তি।"
উষ্ণীষ'২০,Ushnish means Crown...
একাঘ্নী,একাঘ্নী অর্থ অব্যর্থ তাই এই নামে আমাদের নিরাপদ ক্যাম্পাসের প্রচেষ্টা সফল হতে দৃঢ় সংকল্প প্রকাশ পাবে।
কলঙ্ক ২০,Buet itselt a bad luck
কল্পবৈভব," ""কল্পনার দ্যুতি"" বা ""মনোজগতের ঐশ্বর্য।"""
চিরায়ত,বিসর্গ
দি-দশ'২০,২০ সংখ্যাকে কেন্দ্র করবে
দিগন্তজয়ী '২০,No theme
দুর্জয় '20,Meaning: indomitable; impossible to defeat
দুর্দান্ত'২০ ,সূর্যের ন্যায় প্রজ্জুল্লমান
দুর্মর 20,"সুকান্ত ভট্টাচার্য এর কবিতা দুর্মর। ""সাবাস, বাংলা দেশ, এ পৃথিবী অবাক তাকিয়ে রয়: জ্বলে পুড়ে-মরে ছারখার তবু মাথা নোয়াবার নয়।"" বিশ ব্যাচের non-negotiable attitude  এর সাথে দিস নেইম এলাইন্স ।"
দ্বৈরথ ২০,Duel- referring to some significant disputes 20 batch has faced from starting the journey of university life and also during it and successfully overcomed it
দ্রোহ ২০,সকল প্রকার অন্যায়ের বিরূদ্ধে রুখে দাঁড়াবে।
ধ্রুপদি '২০,ধ্রুপদ ভারতীয় শাস্ত্রীয় সঙ্গীতের একটি অন্যতম অভিজাত ধারা। এর থেকেই ধ্রুপদি শব্দটি এসেছে। যা আভিজাত্য বা চিরায়ত প্রকাশে ব্যবহৃত হয়।
ধ্রুপদী,"অভিজাত, আধুনিক, নবউত্থান"
নন্দঘোষ ২০,joto dosh nondo ghost
নন্দোঘ ২০,যত দোষ নন্দ ঘোষ 
নবদিগন্ত-২০,"কোভিডের সময় দীর্ঘ দুই বছর অপেক্ষার মধ্যে আমাদের admission জার্নি চলে, এরপর আমাদের বুয়েটে আগমনের মাধ্যমে দীর্ঘ ২ বছর পর বুয়েটে নতুন এক সূর্যের জাগরণ ঘটে। বছর দুয়েক আধারের পর এক রোদেলা সকালের রূপ হিসেবে ২০ ব্যাচের আগমণ ঘটে বুয়েটে। এজন্য আমরা নবদিগন্ত-২০"
নবপ্রভাত '২০,"নতুন স্বাধীনতা পাওয়ার পরের প্রথম rag ব্যাচ আমরা।আমার কাছে মনে হয় নবপ্রভাত মানে শুধু নতুন দিন নয়, এটি সাহস, দৃঢ়তা, এবং নতুন সম্ভাবনার প্রতীক, যা প্রতিকূলতার মধ্যেও এগিয়ে চলার মানসিকতাকে তুলে ধরে। ঠিক যেমন সূর্যোদয় অন্ধকার কাটিয়ে আলো নিয়ে আসে, তেমনি আমাদের ব্যাচের যাত্রা হলো প্রতিকূলতাকে অতিক্রম করে নতুন আলোয় এগিয়ে যাওয়ার প্রতীক। নবপ্রভাত আমাদের নতুন পথচলার, অদম্য মনোবলের, এবং অগণিত সম্ভাবনার সূচনা, যা আমাদের সামনে নতুন দিনের আশা ও ভবিষ্যৎ নির্মাণের সম্ভাবনা উন্মুক্ত করে।"
নবারুণ -২০,নতুন এক সূর্য
নিরবধি ,
নির্জিত ২০,পরাভূত করার যায় না 
নিঃশঙ্ক ২০২০,symbolizing bravery in facing challenges.
নৈসর্গিক-২০,"আমরা বুয়েটের নিসর্গের প্রতি ভালোবাসায় এখানে প্রথম এসে এই স্থানকে যেভাবে পেয়েছি, চলে যাওয়ার আগে অনুজদের জন্য এই স্থানের নিসর্গকে যাতে আরো সুন্দর রেখে যেতে পারি - এই আমাদের অঙ্গীকার"
পথিকৃৎ,"20 was always on the frontline of any injustice. So,yes Frontliners,pioneers."
পথিকৃৎ '২০,এপ্রিলে সর্বপ্রথম ছাত্ররাজনীতি রোধে রুখে দাড়াবার ডাক দিয়েছিল ২০ব্যাচ। বুয়েটে ১৮ বা ১৯ ব্যাচের তুলনায় ২০ এর ভূমিকা এবং একতা সবচেয়ে বেশি ছিল। তাই সেই স্মরণে ২০ কে পথিকৃৎ ২০ নাম করণ করা হোক
পুনারাবির্ভাব,কোভিড-১৯ এর প্রতিকূল পরিস্থিতির সমাপ্তির পরে এক নতুন স্বপ্ন নিয়ে শত প্রতিকূলতা নিয়ে বুয়েট ২০ ব্যাচ প্রবেশ করে
পূর্বাষাড়া/ Purvashada,"শাস্ত্রের ২০ তম নক্ষত্র, যার মানে 'অজেয়'"
প্রাচুর্য-20,আমাদের ২০ ব্যাচের অনেকেই সাহসিকতার সাথে ক্যাম্পাস প্লাস বাহিরে আন্দোলন করেছে।সাহসের প্রাচুর্যতার জন্যই এই নাম. আমাদের সাহসের প্রাচুর্যতা
প্রারম্ভ ২০,"COVID er pore first batch amra dhuksi, in that sense. "
বর্ণময় ২০,
